Epoch,Accuracy,Loss,F1
1,0.7990196078431373,0.49143417208802465,0.444141689373297
2,0.8284313725490197,0.39506302627862666,0.5868055555555556
3,0.8357843137254902,0.3459188797894646,0.6080466856888863
4,0.8700980392156863,0.3064456079520431,0.7317620790175527
5,0.8799019607843137,0.280271754545324,0.7589670014347201
6,0.9044117647058824,0.26010866726146026,0.8226778848832674
7,0.9264705882352942,0.24282176821839577,0.8706677937447169
8,0.928921568627451,0.23041717678892845,0.8756816390858946
9,0.9387254901960784,0.21721731447706036,0.8962813825081603
10,0.9362745098039216,0.20943858576755897,0.8903769841269842
11,0.9387254901960784,0.20540531008851295,0.8951641913767409
12,0.9436274509803921,0.19638861861883425,0.9055774126359639
13,0.9436274509803921,0.18998405980128868,0.9045788719075074
14,0.9509803921568627,0.18262266645244524,0.9199591948836661
15,0.9436274509803921,0.18277602102242263,0.9045788719075074
16,0.9509803921568627,0.17380353516223385,0.9199591948836661
17,0.946078431372549,0.17189188564524932,0.9101501501501502
18,0.9485294117647058,0.1673582301420324,0.9163730418232394
19,0.9436274509803921,0.16686024385340073,0.9045788719075074
20,0.9509803921568627,0.16070939980301202,0.9207459207459208
21,0.9509803921568627,0.1575783374262791,0.9199591948836661
22,0.9534313725490197,0.15688395032695696,0.9228003784295176
23,0.9509803921568627,0.15518567141364603,0.919150285351934
24,0.9534313725490197,0.15184194901410272,0.9235796882855707
25,0.9534313725490197,0.14900826472862094,0.9235796882855707
26,0.9509803921568627,0.1491693047916188,0.919150285351934
27,0.9534313725490197,0.1445162810531317,0.9235796882855707
28,0.9534313725490197,0.14449519737094058,0.9235796882855707
29,0.9534313725490197,0.14127715428670248,0.9235796882855707
30,0.9534313725490197,0.13973288442574294,0.9235796882855707
31,0.9583333333333334,0.13736789366778204,0.9323019862378605
32,0.9534313725490197,0.13836432438270718,0.9235796882855707
33,0.9534313725490197,0.13773745181513766,0.9235796882855707
34,0.9534313725490197,0.1386555316401463,0.9228003784295176
35,0.9583333333333334,0.13329089856615253,0.9323019862378605
36,0.9558823529411765,0.1322626974068436,0.9279632753952995
37,0.9558823529411765,0.13270033107084386,0.9279632753952995
38,0.9558823529411765,0.1323382527220483,0.9279632753952995
39,0.9534313725490197,0.13493162042954387,0.9228003784295176
40,0.9583333333333334,0.1281595697589949,0.9323019862378605
41,0.9583333333333334,0.12794063605514228,0.9336032853737687
42,0.9534313725490197,0.1306603656095617,0.9228003784295176
43,0.9583333333333334,0.12556317273308248,0.9323019862378605
44,0.9534313725490197,0.12766584695554248,0.9235796882855707
45,0.9534313725490197,0.1292283488254921,0.9228003784295176
46,0.9607843137254902,0.12384683945599724,0.9365967365967366
47,0.9558823529411765,0.12592438155529545,0.9279632753952995
48,0.9583333333333334,0.12405786327287263,0.9323019862378605
49,0.9583333333333334,0.12334956374822878,0.9323019862378605
50,0.9583333333333334,0.12122923720116709,0.9329615418072161
