Epoch,Accuracy,Loss,F1
1,0.8333333333333334,0.48062986486098347,0.5288043478260869
2,0.8235294117647058,0.3596205617867264,0.4776671408250356
3,0.8774509803921569,0.31626518099915746,0.7100790176794952
4,0.8897058823529411,0.2792509490368413,0.7540687160940325
5,0.9019607843137255,0.2557564903708065,0.7990147783251231
6,0.9436274509803921,0.23648718291637943,0.8979278838309676
7,0.9362745098039216,0.2164942610497568,0.8810495626822157
8,0.946078431372549,0.20266934937121822,0.9029411764705884
9,0.946078431372549,0.19551374398025811,0.9029411764705884
10,0.9485294117647058,0.18356983334410423,0.9078937467078034
11,0.9509803921568627,0.17674922943115234,0.9137785291631445
12,0.9485294117647058,0.17090430914186963,0.9078937467078034
13,0.9534313725490197,0.1635731715782016,0.917622179951755
14,0.9534313725490197,0.16051707548253677,0.9194505346065525
15,0.9558823529411765,0.15405779258877622,0.9232666025828562
16,0.9607843137254902,0.154024507485184,0.9332651809445921
17,0.9583333333333334,0.14900705861110314,0.9287116501361838
18,0.9534313725490197,0.14255712546554267,0.917622179951755
19,0.9534313725490197,0.1398194256950827,0.9194505346065525
20,0.9534313725490197,0.13744194367352655,0.917622179951755
21,0.9632352941176471,0.13640473870670095,0.9377688295048962
22,0.9632352941176471,0.13559124516505822,0.9377688295048962
23,0.9583333333333334,0.13050654355217428,0.9271237194641451
24,0.9558823529411765,0.1285701172024596,0.9224006762468302
25,0.9534313725490197,0.1262513889985926,0.917622179951755
26,0.9607843137254902,0.12708282470703125,0.9317925356292056
27,0.9632352941176471,0.12516513525270948,0.9377688295048962
28,0.9656862745098039,0.12298911225562002,0.9416070333265181
29,0.9583333333333334,0.1188511287464815,0.9271237194641451
30,0.9607843137254902,0.11809493046180874,0.9317925356292056
31,0.9632352941176471,0.12013070723589729,0.9384200517191068
32,0.9558823529411765,0.11573482962215648,0.9224006762468302
33,0.9656862745098039,0.11613194147745769,0.9422236607865351
34,0.9558823529411765,0.11423318526324104,0.9224006762468302
35,0.9632352941176471,0.11495854807834999,0.9377688295048962
36,0.9656862745098039,0.11343734404620003,0.9416070333265181
37,0.9632352941176471,0.11157998851701326,0.9370985148260444
38,0.9583333333333334,0.1100925744748583,0.9271237194641451
39,0.9607843137254902,0.10875964632221297,0.9325396825396826
40,0.9656862745098039,0.10905316296745748,0.9422236607865351
41,0.9656862745098039,0.10932706384097829,0.9422236607865351
42,0.9656862745098039,0.1067654011296291,0.9416070333265181
43,0.9558823529411765,0.10531120674282897,0.9232666025828562
44,0.9656862745098039,0.10621828191420611,0.9416070333265181
45,0.9583333333333334,0.10492920408061907,0.9271237194641451
46,0.9656862745098039,0.10521482018863454,0.9416070333265181
47,0.9656862745098039,0.1039282854865579,0.9422236607865351
48,0.9656862745098039,0.1026151040021111,0.9416070333265181
49,0.9656862745098039,0.10430358437930837,0.9422236607865351
50,0.9656862745098039,0.1016844861647662,0.9422236607865351
