Epoch,Accuracy,Loss,F1
1,0.3627450980392157,0.7188210580863205,0.3345377898223426
2,0.32598039215686275,0.7246277753044578,0.3203912898634119
3,0.2965686274509804,0.7389497195973116,0.2962261769531743
4,0.28431372549019607,0.7480916789933747,0.2809270883631096
5,0.33088235294117646,0.7415479024251302,0.3299767202641979
6,0.3700980392156863,0.7287004508224189,0.37006398125619533
7,0.4264705882352941,0.7150840759277344,0.4247981684540306
8,0.44607843137254904,0.704547732484107,0.4438198180809226
9,0.4681372549019608,0.6953760782877604,0.4654365637622794
10,0.4950980392156863,0.680971482220818,0.4896903460837887
11,0.5833333333333334,0.6512107849121094,0.5648900933453779
12,0.7156862745098039,0.6014851588828891,0.6777426734938445
13,0.8259803921568627,0.541498670391008,0.7809420821391572
14,0.8995098039215687,0.48440417121438417,0.8544568669247835
15,0.9019607843137255,0.43481351815018,0.8445121951219512
16,0.8921568627450981,0.401765411975337,0.8221306277742548
17,0.8897058823529411,0.37867078594132964,0.8133064885146883
18,0.8848039215686274,0.36219413607728246,0.800746059289893
19,0.875,0.3494539073869294,0.7788805882915528
20,0.8774509803921569,0.33768167682722505,0.7819674233679621
21,0.8823529411764706,0.32688069811054304,0.7906887264332435
22,0.8799019607843137,0.3174246993719363,0.7850854089848747
23,0.8823529411764706,0.3091055552164714,0.7906887264332435
24,0.8848039215686274,0.30161132064520146,0.7962232872490781
25,0.8872549019607843,0.2951190424900429,0.8016906170752325
26,0.8897058823529411,0.2888669780656403,0.8070921985815602
27,0.8970588235294118,0.28269290924072266,0.8229166666666666
28,0.9068627450980392,0.27824654298670154,0.8431785078491666
29,0.9068627450980392,0.2752357744703106,0.8431785078491666
30,0.9093137254901961,0.2729203467275582,0.8496638948364288
31,0.9117647058823529,0.27078712687772866,0.8544705136334813
32,0.9142156862745098,0.2684159185372147,0.8592257415786827
33,0.9117647058823529,0.26602621639476104,0.8544705136334813
34,0.9117647058823529,0.26377283358106424,0.8544705136334813
35,0.9166666666666666,0.26118966644885494,0.8639306313022326
36,0.9166666666666666,0.2591546376546224,0.8639306313022326
37,0.9166666666666666,0.2568369098738128,0.8639306313022326
38,0.9215686274509803,0.2547461378808115,0.8731934731934733
39,0.9215686274509803,0.2527826346603094,0.8731934731934733
40,0.9215686274509803,0.2508874967986462,0.8731934731934733
41,0.9240196078431373,0.24902878555597044,0.8777533997661
42,0.9264705882352942,0.24722942651486865,0.8822669385556539
43,0.928921568627451,0.24550993302289179,0.8867350162258407
44,0.928921568627451,0.24382970847335517,0.8867350162258407
45,0.928921568627451,0.24214961482029335,0.8867350162258407
46,0.928921568627451,0.24034028894761028,0.8867350162258407
47,0.928921568627451,0.23885233262005975,0.8867350162258407
48,0.928921568627451,0.2373176275515089,0.8867350162258407
49,0.928921568627451,0.23592685250674977,0.8867350162258407
50,0.928921568627451,0.23446077458998738,0.8867350162258407
